book_name,abbreviation,section,quantity_chapters,summary
Gênesis,gn,Antigo Testamento,50,"Criação, queda, dilúvio, patriarcas e alianças."
Êxodo,ex,Antigo Testamento,40,"Libertação do Egito, leis e construção do tabernáculo."
Levítico,lv,Antigo Testamento,27,"Leis sobre culto, pureza, sacrifícios e sacerdócio."
Números,nm,Antigo Testamento,36,"Peregrinação no deserto e censos de Israel."
Deuteronômio,dt,Antigo Testamento,34,"Últimos discursos de Moisés e renovação da aliança."
Josué,js,Antigo Testamento,24,"Conquista e divisão da terra prometida."
Juízes,jz,Antigo Testamento,21,"Ciclo de pecado, opressão e libertação por juízes."
Rute,rt,Antigo Testamento,4,"História de fidelidade e redenção em Belém."
1 Samuel,1sm,Antigo Testamento,31,"Início da monarquia: Samuel, Saul e Davi."
2 Samuel,2sm,Antigo Testamento,24,"Reinado de Davi sobre Israel."
1 Reis,1rs,Antigo Testamento,22,"Salomão, divisão do reino e profetas."
2 Reis,2rs,Antigo Testamento,25,"Reinos divididos até o exílio."
1 Crônicas,1cr,Antigo Testamento,29,"Genealogias e reinado de Davi."
2 Crônicas,2cr,Antigo Testamento,36,"Reis de Judá até o exílio."
Esdras,ed,Antigo Testamento,10,"Retorno do exílio e restauração do templo."
Neemias,ne,Antigo Testamento,13,"Reconstrução dos muros de Jerusalém."
Ester,et,Antigo Testamento,10,"Deus livra os judeus por meio de Ester."
Jó,jó,Antigo Testamento,42,"Sofrimento de um homem justo e sua restauração."
Salmos,sl,Antigo Testamento,150,"Cânticos e orações de louvor, lamento e sabedoria."
Provérbios,pv,Antigo Testamento,31,"Ensinamentos de sabedoria para a vida prática."
Eclesiastes,ec,Antigo Testamento,12,"Reflexões sobre o sentido da vida."
Cantares,ct,Antigo Testamento,8,"Poesia sobre o amor entre o noivo e a noiva."
Isaías,is,Antigo Testamento,66,"Profecias sobre julgamento, restauração e o Messias."
Jeremias,jr,Antigo Testamento,52,"Profecias antes e durante o exílio."
Lamentações,lm,Antigo Testamento,5,"Lamento pela destruição de Jerusalém."
Ezequiel,ez,Antigo Testamento,48,"Visões e mensagens de julgamento e esperança."
Daniel,dn,Antigo Testamento,12,"Fidelidade no exílio e visões proféticas."
Oseias,os,Antigo Testamento,14,"Amor fiel de Deus a Israel infiel."
Joel,jl,Antigo Testamento,3,"O Dia do Senhor e promessa do Espírito."
Amós,am,Antigo Testamento,9,"Justiça de Deus contra a opressão social."
Obadias,ob,Antigo Testamento,1,"Profecia contra Edom."
Jonas,jn,Antigo Testamento,4,"Profeta relutante e a misericórdia de Deus sobre Nínive."
Miquéias,mq,Antigo Testamento,7,"Julgamento e promessa do Reino do Messias."
Naum,na,Antigo Testamento,3,"Juízo contra Nínive."
Habacuque,hc,Antigo Testamento,3,"Diálogo com Deus sobre o sofrimento e a justiça."
Sofonias,sf,Antigo Testamento,3,"O Dia do Senhor e restauração dos humildes."
Ageu,ag,Antigo Testamento,2,"Chamado à reconstrução do templo."
Zacarias,zc,Antigo Testamento,14,"Visões de esperança e restauração messiânica."
Malaquias,ml,Antigo Testamento,4,"Chamado ao arrependimento e promessa do mensageiro."
Mateus,mt,Novo Testamento,28,"Jesus como Messias e cumprimento da profecia."
Marcos,mc,Novo Testamento,16,"Evangelho breve e dinâmico sobre o ministério de Jesus."
Lucas,lc,Novo Testamento,24,"Relato detalhado da vida de Jesus, com foco em compaixão e inclusão."
João,jo,Novo Testamento,21,"Jesus como o Verbo, o Filho de Deus eterno."
Atos,at,Novo Testamento,28,"Nascimento e expansão da Igreja pelo Espírito Santo."
Romanos,rm,Novo Testamento,16,"Doutrina da salvação pela fé e vida no Espírito."
1 Coríntios,1co,Novo Testamento,16,"Correção e ensino sobre a vida cristã na igreja."
2 Coríntios,2co,Novo Testamento,13,"Defesa do ministério apostólico e encorajamento."
Gálatas,gl,Novo Testamento,6,"Liberdade do evangelho versus legalismo."
Efésios,ef,Novo Testamento,6,"Unidade da Igreja e vida em Cristo."
Filipenses,fp,Novo Testamento,4,"Alegria em Cristo apesar das circunstâncias."
Colossenses,cl,Novo Testamento,4,"Supremacia de Cristo sobre todas as coisas."
1 Tessalonicenses,1ts,Novo Testamento,5,"Encorajamento e ensino sobre a volta de Cristo."
2 Tessalonicenses,2ts,Novo Testamento,3,"Correções sobre escatologia e firmeza na fé."
1 Timóteo,1tm,Novo Testamento,6,"Instruções pastorais para liderança na igreja."
2 Timóteo,2tm,Novo Testamento,4,"Últimas palavras de Paulo a um jovem pastor."
Tito,tt,Novo Testamento,3,"Conselhos práticos para liderança e boa conduta."
Filemom,fm,Novo Testamento,1,"Apelo pessoal por perdão e reconciliação."
Hebreus,hb,Novo Testamento,13,"Cristo como cumprimento da antiga aliança."
Tiago,tg,Novo Testamento,5,"Fé prática e viva demonstrada por obras."
1 Pedro,1pe,Novo Testamento,5,"Sofrimento com esperança e santidade."
2 Pedro,2pe,Novo Testamento,3,"Advertência contra falsos mestres e escárnio."
1 João,1jo,Novo Testamento,5,"Amor, verdade e certeza da salvação."
2 João,2jo,Novo Testamento,1,"Verdade e amor em equilíbrio cristão."
3 João,3jo,Novo Testamento,1,"Hospitalidade e integridade no ministério."
Judas,jd,Novo Testamento,1,"Luta pela fé contra falsos ensinos."
Apocalipse,ap,Novo Testamento,22,"Visões do juízo, triunfo de Cristo e nova criação."
